Date,Price,Open,High,Low,Vol.,Change %
2024-04-08,151.79,151.57,151.96,151.56,,0.12%
2024-04-09,151.77,151.81,151.95,151.57,,-0.01%
2024-04-10,153.17,151.75,153.25,151.68,,0.92%
2024-04-11,153.27,153.16,153.33,152.76,,0.07%
2024-04-12,153.28,153.27,153.4,152.59,,0.01%
2024-04-15,154.27,153.09,154.46,152.99,,0.65%
2024-04-16,154.71,154.27,154.8,153.9,,0.29%
2024-04-17,154.38,154.72,154.76,154.16,,-0.21%
2024-04-18,154.63,154.39,154.72,153.95,,0.16%
2024-04-19,154.63,154.65,154.68,153.58,,0.00%
2024-04-22,154.84,154.64,154.89,154.46,,0.14%
2024-04-23,154.82,154.85,154.88,154.56,,-0.01%
2024-04-24,155.34,154.83,155.39,154.73,,0.34%
2024-04-25,155.65,155.32,155.76,155.2,,0.20%
2024-04-26,158.33,155.62,158.45,154.98,,1.72%
2024-04-29,156.33,157.82,160.05,154.52,,-1.26%
2024-04-30,157.8,156.35,157.86,156.07,,0.94%
2024-05-01,154.47,157.81,158.04,153.18,,-2.11%
2024-05-02,153.63,154.93,156.29,153.06,,-0.54%
2024-05-03,152.98,153.65,153.8,151.86,,-0.42%
2024-05-06,153.88,152.88,154.01,152.81,,0.59%
2024-05-07,154.69,153.9,154.78,153.86,,0.53%
2024-05-08,155.48,154.7,155.69,154.56,,0.51%
2024-05-09,155.46,155.5,155.97,155.16,,-0.01%
2024-05-10,155.72,155.47,155.92,155.26,,0.17%
2024-05-13,156.2,155.74,156.31,155.56,,0.31%
2024-05-14,156.42,156.18,156.78,156.14,,0.14%
2024-05-15,154.87,156.43,156.57,154.69,,-0.99%
2024-05-16,155.38,154.88,155.54,153.59,,0.33%
2024-05-17,155.65,155.39,156.01,155.25,,0.17%
2024-05-20,156.24,155.61,156.32,155.49,,0.38%
2024-05-21,156.15,156.26,156.56,155.84,,-0.06%
2024-05-22,156.77,156.17,156.85,156.11,,0.40%
2024-05-23,156.93,156.79,157.2,156.53,,0.10%
2024-05-24,156.99,156.94,157.16,156.82,,0.04%
2024-05-27,156.86,157.04,157.04,156.66,,-0.08%
2024-05-28,157.16,156.85,157.2,156.58,,0.19%
2024-05-29,157.6,157.14,157.79,156.92,,0.28%
2024-05-30,156.81,157.64,157.68,156.38,,-0.50%
2024-05-31,157.31,156.82,157.39,156.56,,0.32%
2024-06-03,156.1,157.32,157.49,155.95,,-0.77%
2024-06-04,154.87,156.12,156.5,154.55,,-0.79%
2024-06-05,156.1,154.86,156.5,154.79,,0.79%
2024-06-06,155.6,156.1,156.45,155.36,,-0.32%
2024-06-07,156.7,155.62,157.09,155.12,,0.71%
2024-06-10,157.02,156.74,157.2,156.7,,0.20%
2024-06-11,157.07,157.05,157.47,156.8,,0.03%
2024-06-12,156.71,157.07,157.45,155.72,,-0.23%
2024-06-13,157.02,156.72,157.36,156.58,,0.20%
2024-06-14,157.37,157.04,158.28,156.88,,0.22%
2024-06-17,157.71,157.38,157.97,157.15,,0.22%
2024-06-18,157.85,157.74,158.25,157.51,,0.09%
2024-06-19,158.08,157.85,158.12,157.6,,0.15%
2024-06-20,158.9,158.1,158.95,157.92,,0.52%
2024-06-21,159.79,158.94,159.86,158.67,,0.56%
2024-06-24,159.59,159.84,159.93,158.82,,-0.13%
2024-06-25,159.69,159.58,159.81,159.19,,0.06%
2024-06-26,160.79,159.71,160.88,159.61,,0.69%
2024-06-27,160.74,160.82,160.86,160.28,,-0.03%
2024-06-28,160.83,160.76,161.28,160.26,,0.06%
2024-07-01,161.45,160.89,161.76,160.66,,0.39%
2024-07-02,161.44,161.51,161.78,161.27,,-0.01%
2024-07-03,161.68,161.46,162.01,160.77,,0.15%
2024-07-04,161.25,161.7,161.7,160.95,,-0.27%
2024-07-05,160.72,161.26,161.4,160.34,,-0.33%
2024-07-08,160.81,160.7,161.13,160.26,,0.06%
2024-07-09,161.31,160.79,161.52,160.73,,0.31%
2024-07-10,161.67,161.35,161.85,161.26,,0.22%
2024-07-11,158.8,161.64,161.77,157.43,,-1.78%
2024-07-12,157.89,158.82,159.45,157.38,,-0.57%
2024-07-15,158.01,157.88,158.43,157.17,,0.08%
2024-07-16,158.34,158.07,158.87,158,,0.21%
2024-07-17,156.16,158.36,158.63,156.06,,-1.38%
2024-07-18,157.37,156.15,157.41,155.37,,0.77%
2024-07-19,157.49,157.38,157.88,156.96,,0.08%
2024-07-22,157,157.45,157.63,156.28,,-0.31%
2024-07-23,155.58,157.03,157.11,155.56,,-0.90%
2024-07-24,153.87,155.56,156,153.11,,-1.10%
2024-07-25,153.93,153.9,154.33,151.94,,0.04%
2024-07-26,153.72,153.95,154.75,153.13,,-0.14%
2024-07-29,154.01,153.81,154.36,153.01,,0.19%
2024-07-30,152.76,154.02,155.23,152.65,,-0.81%
2024-07-31,149.98,152.81,153.75,149.61,,-1.82%
2024-08-01,149.36,149.99,150.89,148.5,,-0.41%
2024-08-02,146.54,149.38,149.78,146.42,,-1.89%
2024-08-05,144.17,146.51,146.57,141.68,,-1.62%
2024-08-06,144.3,144.17,146.38,143.62,,0.09%
