Date,Price,Open,High,Low,Vol.,Change %
2024-01-11,9.043,9.0526,9.0694,8.9971,,-0.06%
2024-01-12,9.0611,9.0485,9.08,9.0306,,0.20%
2024-01-15,9.0535,9.0657,9.1055,9.0438,,-0.08%
2024-01-16,9.0887,9.0624,9.1383,9.0537,,0.39%
2024-01-17,9.0703,9.0962,9.148,9.068,,-0.20%
2024-01-18,9.0325,9.0783,9.0968,9.0261,,-0.42%
2024-01-19,9.0009,9.0446,9.0509,8.9914,,-0.35%
2024-01-22,9.0403,8.9994,9.0746,8.9927,,0.44%
2024-01-23,9.015,9.0446,9.0727,8.998,,-0.28%
2024-01-24,9.0291,9.026,9.075,9.0176,,0.16%
2024-01-25,9.0496,9.0372,9.0751,9.0223,,0.23%
2024-01-26,9.0205,9.057,9.0739,9.0058,,-0.32%
2024-01-29,9.0346,9.029,9.0541,9.0085,,0.16%
2024-01-30,9.0003,9.0406,9.0532,8.9965,,-0.38%
2024-01-31,9.0776,9.0063,9.1161,9.0044,,0.86%
2024-02-01,9.0744,9.0845,9.1232,9.0589,,-0.04%
2024-02-02,9.0146,9.0808,9.0855,8.9409,,-0.66%
2024-02-05,8.9652,9.0267,9.0282,8.9583,,-0.55%
2024-02-06,8.9678,8.9719,8.9839,8.9264,,0.03%
2024-02-07,8.9634,8.9714,8.9902,8.9431,,-0.05%
2024-02-08,8.9151,8.9664,8.978,8.9049,,-0.54%
2024-02-09,8.9069,8.9242,8.9438,8.8984,,-0.09%
2024-02-12,8.8963,8.9218,8.9361,8.8898,,-0.12%
2024-02-13,8.8896,8.901,8.9136,8.8251,,-0.08%
2024-02-14,8.8302,8.8937,8.9079,8.8309,,-0.67%
2024-02-15,8.8611,8.8393,8.9044,8.8372,,0.35%
2024-02-16,8.8611,8.8642,8.8978,8.8514,,0.00%
2024-02-19,8.8832,8.8783,8.9116,8.8665,,0.25%
2024-02-20,8.8907,8.8919,8.9128,8.8755,,0.08%
2024-02-21,8.8686,8.8938,8.9147,8.8667,,-0.25%
2024-02-22,8.8167,8.8716,8.8798,8.8117,,-0.59%
2024-02-23,8.8351,8.8192,8.8563,8.8158,,0.21%
2024-02-26,8.8375,8.8453,8.8656,8.8263,,0.03%
2024-02-27,8.8491,8.8409,8.8742,8.8319,,0.13%
2024-02-28,8.8524,8.8517,8.8894,8.839,,0.04%
2024-02-29,8.8987,8.8632,8.9452,8.8574,,0.52%
2024-03-01,8.8625,8.9063,8.9084,8.8573,,-0.41%
2024-03-04,8.8408,8.8731,8.8852,8.842,,-0.24%
2024-03-05,8.8997,8.8494,8.9239,8.8425,,0.67%
2024-03-06,8.8953,8.9079,8.9304,8.8893,,-0.05%
2024-03-07,8.9362,8.9037,9.0047,8.9018,,0.46%
2024-03-08,8.9463,8.944,8.991,8.9092,,0.11%
2024-03-11,8.9196,8.9586,8.9875,8.9044,,-0.30%
2024-03-12,8.881,8.9261,8.9585,8.8457,,-0.43%
2024-03-13,8.8908,8.8854,8.9251,8.8686,,0.11%
2024-03-14,8.9216,8.8935,8.9506,8.88,,0.35%
2024-03-15,8.9274,8.9308,8.9819,8.9147,,0.07%
2024-03-18,8.9576,8.9325,8.9758,8.9183,,0.34%
2024-03-19,8.8641,8.9639,8.9768,8.8606,,-1.04%
2024-03-20,8.7856,8.866,8.8718,8.789,,-0.89%
2024-03-21,8.7982,8.797,8.8365,8.7531,,0.14%
2024-03-22,8.8705,8.8061,8.9045,8.7784,,0.82%
2024-03-25,8.8419,8.8808,8.902,8.8334,,-0.32%
2024-03-26,8.8593,8.8475,8.8843,8.8207,,0.20%
2024-03-27,8.9197,8.8682,8.9386,8.846,,0.68%
2024-03-28,8.9139,8.9248,8.9416,8.8739,,-0.07%
2024-03-29,8.8843,8.9226,8.9234,8.8776,,-0.33%
2024-04-01,8.9235,8.8977,8.9424,8.8722,,0.44%
2024-04-02,8.9163,8.9266,8.95,8.8867,,-0.08%
2024-04-03,8.8639,8.92,8.9297,8.8672,,-0.59%
2024-04-04,8.9263,8.8696,8.9417,8.8547,,0.70%
2024-04-05,8.9093,8.931,8.9672,8.8975,,-0.19%
2024-04-08,8.9164,8.9155,8.9376,8.9051,,0.08%
2024-04-09,8.9001,8.9261,8.9381,8.8995,,-0.18%
2024-04-10,8.9003,8.9101,8.9498,8.858,,0.00%
2024-04-11,8.9184,8.9045,8.9593,8.9036,,0.20%
2024-04-12,8.9993,8.9279,9.0746,8.9172,,0.91%
2024-04-15,8.989,9.0182,9.0385,8.9579,,-0.11%
2024-04-16,8.9807,8.997,9.0757,8.9825,,-0.09%
2024-04-17,8.931,8.9839,9.0025,8.9311,,-0.55%
2024-04-18,8.919,8.9399,8.9611,8.8874,,-0.13%
2024-04-19,8.8865,8.9271,9.0575,8.8903,,-0.36%
2024-04-22,8.9036,8.8914,8.9485,8.8847,,0.19%
2024-04-23,8.8675,8.9078,8.9191,8.8642,,-0.41%
2024-04-24,8.864,8.8729,8.8961,8.8299,,-0.04%
2024-04-25,8.8103,8.8693,8.8812,8.8143,,-0.61%
2024-04-26,8.6923,8.8154,8.8632,8.6934,,-1.34%
2024-04-29,8.7928,8.7274,8.9131,8.6436,,1.16%
2024-04-30,8.7788,8.7983,8.8373,8.7657,,-0.16%
