Date,Price,Open,High,Low,Vol.,Change %
2023-12-22,"2,052.98","2,045.84","2,070.65","2,045.65",,0.37%
2023-12-25,"2,054.93","2,054.32","2,058.36","2,053.96",,0.10%
2023-12-26,"2,066.60","2,055.73","2,068.65","2,053.59",,0.57%
2023-12-27,"2,077.16","2,066.70","2,084.59","2,061.00",,0.51%
2023-12-28,"2,064.86","2,077.34","2,088.54","2,065.89",,-0.59%
2023-12-29,"2,062.59","2,065.15","2,075.15","2,057.75",,-0.11%
2024-01-01,"2,063.80","2,064.24","2,074.90","2,063.30",,0.06%
2024-01-02,"2,058.88","2,062.90","2,079.02","2,056.04",,-0.24%
2024-01-03,"2,040.78","2,059.15","2,066.12","2,030.68",,-0.88%
2024-01-04,"2,043.26","2,041.34","2,051.40","2,036.24",,0.12%
2024-01-05,"2,045.50","2,043.69","2,064.03","2,024.49",,0.11%
2024-01-08,"2,027.84","2,044.08","2,046.71","2,016.84",,-0.86%
2024-01-09,"2,029.59","2,028.40","2,042.09","2,026.11",,0.09%
2024-01-10,"2,023.40","2,029.94","2,040.44","2,020.45",,-0.31%
2024-01-11,"2,028.09","2,023.74","2,039.69","2,013.32",,0.23%
2024-01-12,"2,048.72","2,028.30","2,062.35","2,027.99",,1.02%
2024-01-15,"2,054.49","2,048.09","2,059.25","2,045.80",,0.28%
2024-01-16,"2,027.59","2,054.91","2,055.65","2,024.29",,-1.31%
2024-01-17,"2,005.72","2,027.90","2,033.05","2,001.91",,-1.08%
2024-01-18,"2,022.67","2,006.09","2,023.45","2,005.43",,0.85%
2024-01-19,"2,029.09","2,023.05","2,039.49","2,020.37",,0.32%
2024-01-22,"2,020.99","2,029.90","2,032.28","2,016.74",,-0.40%
2024-01-23,"2,028.69","2,021.24","2,037.92","2,019.59",,0.38%
2024-01-24,"2,012.59","2,028.94","2,036.74","2,011.28",,-0.79%
2024-01-25,"2,019.75","2,012.84","2,025.27","2,010.15",,0.36%
2024-01-26,"2,018.34","2,019.94","2,026.80","2,015.97",,-0.07%
2024-01-29,"2,031.75","2,019.40","2,037.75","2,017.38",,0.66%
2024-01-30,"2,036.12","2,031.97","2,048.48","2,029.19",,0.21%
2024-01-31,"2,037.19","2,036.58","2,056.08","2,031.00",,0.05%
2024-02-01,"2,054.89","2,037.59","2,065.42","2,029.55",,0.87%
2024-02-02,"2,038.59","2,055.09","2,058.20","2,027.45",,-0.79%
2024-02-05,"2,024.67","2,039.91","2,042.32","2,014.40",,-0.68%
2024-02-06,"2,035.46","2,024.99","2,039.02","2,022.55",,0.53%
2024-02-07,"2,034.22","2,035.90","2,044.65","2,030.65",,-0.06%
2024-02-08,"2,033.18","2,034.55","2,038.94","2,019.75",,-0.05%
2024-02-09,"2,024.16","2,033.65","2,037.44","2,020.30",,-0.44%
2024-02-12,"2,019.79","2,024.53","2,028.09","2,011.91",,-0.22%
2024-02-13,"1,992.13","2,019.90","2,030.05","1,990.19",,-1.37%
2024-02-14,"1,992.39","1,992.55","1,996.14","1,984.30",,0.01%
